,Review,Liked,Review Letter Counter,Not Liked,Country,Profit,Category,Gender,Payments_methods,Year
282,I waited and waited.,0,20,1,South Africa,8923,High,Male,cash,2020
283,"This place is not quality sushi, it is not a quality restaurant.",0,64,1,China,7218,High,Male,credit card,2022
284,I would definitely recommend the wings as well as the pizza.,1,60,0,Australia,8780,High,Female,mobile payment,2020
285,Great Pizza and Salads!,1,23,0,Germany,7862,High,Female,mobile payment,2021
286,Things that went wrong: - They burned the saganaki.,0,51,1,China,8391,High,Male,cash,2021
287,We waited an hour for what was a breakfast I could have done 100 times better at home.,0,86,1,Germany,5665,High,Male,credit card,2022
288,This place is amazing!,1,22,0,Japan,7949,High,Male,mobile payment,2024
289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,101,1,Germany,7761,High,Female,credit card,2023
290,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,94,1,China,1775,Low,Female,mobile payment,2024
291,Just don't know why they were so slow.,0,38,1,Brazil,4797,Medium,Female,cash,2023
292,"The staff is great, the food is delish, and they have an incredible beer selection.",1,83,0,USA,1324,Low,Male,cash,2023
293,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,106,1,Australia,5400,High,Male,cash,2024
294,I didn't know pulled pork could be soooo delicious.,1,51,0,Australia,7400,High,Male,credit card,2021
295,"You get incredibly fresh fish, prepared with care.",1,50,0,India,7342,High,Female,mobile payment,2022
296,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,132,1,Canada,9882,High,Male,cash,2024
297,I love the fact that everything on their menu is worth it.,1,58,0,South Africa,7687,High,Female,credit card,2020
298,Never again will I be dining at this place!,0,43,1,Brazil,6028,High,Male,mobile payment,2020
299,The food was excellent and service was very good.,1,49,0,France,5789,High,Male,credit card,2021
300,Good beer & drink selection and good food selection.,1,52,0,China,7762,High,Male,mobile payment,2023
301,Please stay away from the shrimp stir fried noodles.,0,52,1,Germany,9109,High,Male,mobile payment,2021
302,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,118,1,Brazil,8106,High,Female,mobile payment,2022
303,Food was really boring.,0,23,1,Germany,7512,High,Female,credit card,2021
304,Good Service-check!,1,19,0,Canada,7095,High,Male,mobile payment,2022
305,This greedy corporation will NEVER see another dime from me!,0,60,1,Brazil,8945,High,Male,cash,2022
306,"Will never, ever go back.",0,25,1,Germany,5335,High,Female,credit card,2021
307,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,95,1,USA,8796,High,Female,mobile payment,2020
308,"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,77,0,Australia,3648,Medium,Female,mobile payment,2023
309,I did not expect this to be so good!,1,36,0,USA,4777,Medium,Female,cash,2022
310,Fantastic food!,1,15,0,France,2886,Medium,Female,credit card,2021
311,She ordered a toasted English muffin that came out untoasted.,0,61,1,India,4685,Medium,Male,credit card,2023
312,The food was very good.,1,23,0,Germany,1033,Low,Female,cash,2022
313,Never going back.,0,17,1,Japan,1511,Low,Female,credit card,2020
314,"Great food for the price, which is very high quality and house made.",1,68,0,Brazil,6171,High,Male,cash,2020
315,The bus boy on the other hand was so rude.,0,42,1,Brazil,6221,High,Female,cash,2022
316,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,132,1,France,7057,High,Female,cash,2024
317,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,101,0,USA,9239,High,Male,credit card,2020
318,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,100,0,France,9325,High,Female,mobile payment,2024
319,All the bread is made in-house!,1,31,0,France,3423,Medium,Male,mobile payment,2022
320,The only downside is the service.,0,33,1,Germany,4398,Medium,Female,cash,2021
321,"Also, the fries are without a doubt the worst fries I've ever had.",0,66,1,Brazil,5365,High,Male,mobile payment,2021
322,Service was exceptional and food was a good as all the reviews.,1,63,0,South Africa,5914,High,Male,mobile payment,2020
323,"A couple of months later, I returned and had an amazing meal.",1,61,0,Australia,6856,High,Female,credit card,2024
324,Favorite place in town for shawarrrrrrma!!!!!!,1,46,0,Brazil,4761,Medium,Female,mobile payment,2020
325,The black eyed peas and sweet potatoes... UNREAL!,1,49,0,China,3504,Medium,Female,cash,2021
326,You won't be disappointed.,1,26,0,France,7069,High,Male,mobile payment,2020
327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,116,0,France,7396,High,Female,mobile payment,2023
328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,115,1,Australia,3052,Medium,Female,mobile payment,2020
329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,90,1,France,9174,High,Female,mobile payment,2020
330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,88,1,Japan,9166,High,Male,credit card,2021
331,"Both of them were truly unbelievably good, and I am so glad we went back.",1,73,0,South Africa,6048,High,Male,mobile payment,2020
332,"We had fantastic service, and were pleased by the atmosphere.",1,61,0,Japan,2030,Medium,Female,credit card,2021
333,Everything was gross.,0,21,1,India,1924,Low,Male,cash,2022
334,I love this place.,1,18,0,South Africa,7558,High,Male,mobile payment,2022
335,Great service and food.,1,23,0,Japan,8046,High,Male,mobile payment,2020
336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,105,1,USA,5219,High,Female,mobile payment,2022
337,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,82,1,France,4095,Medium,Male,credit card,2021
338,"OMG, the food was delicioso!",1,28,0,Brazil,5972,High,Male,cash,2020
339,There is nothing authentic about this place.,0,44,1,India,5473,High,Female,mobile payment,2024
340,the spaghetti is nothing special whatsoever.,0,44,1,France,4698,Medium,Female,credit card,2023
341,"Of all the dishes, the salmon was the best, but all were great.",1,63,0,China,2706,Medium,Male,credit card,2024
342,The vegetables are so fresh and the sauce feels like authentic Thai.,1,68,0,France,6455,High,Female,cash,2021
343,It's worth driving up from Tucson!,1,34,0,Brazil,3206,Medium,Female,mobile payment,2022
344,The selection was probably the worst I've seen in Vegas.....there was none.,0,75,1,Brazil,3992,Medium,Female,cash,2023
345,Pretty good beer selection too.,1,31,0,India,4868,Medium,Female,credit card,2020
346,"This place is like Chipotle, but BETTER.",1,40,0,India,9173,High,Female,cash,2022
347,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,87,0,Brazil,4349,Medium,Female,credit card,2024
348,5 stars for the brick oven bread app!,1,37,0,Germany,2793,Medium,Male,credit card,2021
349,"I have eaten here multiple times, and each time the food was delicious.",1,71,0,Japan,2600,Medium,Male,mobile payment,2024
350,We sat another ten minutes and finally gave up and left.,0,56,1,China,6201,High,Female,cash,2024
351,He was terrible!,0,16,1,India,6790,High,Female,credit card,2024
352,Everyone is treated equally special.,1,36,0,Brazil,8475,High,Female,cash,2021
353,It shouldn't take 30 min for pancakes and eggs.,0,47,1,Australia,2093,Medium,Male,cash,2022
354,It was delicious!!!,1,19,0,South Africa,1763,Low,Female,cash,2023
355,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,83,0,China,6346,High,Male,credit card,2022
356,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,93,1,Japan,1348,Low,Male,cash,2024
357,As always the evening was wonderful and the food delicious!,1,59,0,Japan,6869,High,Female,cash,2021
358,Best fish I've ever had in my life!,1,35,0,Brazil,3916,Medium,Male,mobile payment,2022
359,(The bathroom is just next door and very nice.),1,47,0,South Africa,8487,High,Male,credit card,2020
360,The buffet is small and all the food they offered was BLAND.,0,60,1,Australia,1813,Low,Male,cash,2023
361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,87,0,India,4526,Medium,Male,mobile payment,2020
362,Pretty cool I would say.,1,24,0,India,5873,High,Female,mobile payment,2020
363,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,82,1,Canada,7374,High,Female,mobile payment,2020
364,Server did a great job handling our large rowdy table.,1,54,0,Germany,5836,High,Female,mobile payment,2022
365,"I find wasting food to be despicable, but this just wasn't food.",0,64,1,Japan,1343,Low,Male,cash,2020
366,My wife had the Lobster Bisque soup which was lukewarm.,0,55,1,Australia,3470,Medium,Female,cash,2023
367,Would come back again if I had a sushi craving while in Vegas.,1,62,0,USA,8641,High,Female,mobile payment,2021
368,"The staff are great, the ambiance is great.",1,43,0,Brazil,5078,High,Male,mobile payment,2024
369,He deserves 5 stars.,1,20,0,Canada,9764,High,Male,cash,2020
370,I left with a stomach ache and felt sick the rest of the day.,0,61,1,Germany,5566,High,Female,credit card,2023
371,They dropped more than the ball.,0,32,1,Australia,9813,High,Female,mobile payment,2020
372,"The dining space is tiny, but elegantly decorated and comfortable.",1,66,0,China,7467,High,Female,credit card,2020
373,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,106,0,Japan,1516,Low,Female,cash,2021
374,And the beans and rice were mediocre at best.,0,45,1,USA,6819,High,Female,cash,2024
375,Best tacos in town by far!!,1,27,0,Australia,3990,Medium,Male,mobile payment,2023
376,I took back my money and got outta there.,0,41,1,Australia,3517,Medium,Female,cash,2020
377,"In an interesting part of town, this place is amazing.",1,54,0,China,4017,Medium,Female,credit card,2022
378,RUDE & INCONSIDERATE MANAGEMENT.,0,32,1,Germany,1504,Low,Female,mobile payment,2024
379,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,126,1,Canada,8443,High,Male,mobile payment,2023
380,I won't be back.,0,16,1,China,7800,High,Female,cash,2021
381,They have great dinners.,1,24,0,Canada,6598,High,Male,mobile payment,2022
382,The service was outshining & I definitely recommend the Halibut.,1,64,0,Australia,7682,High,Female,mobile payment,2023
383,The food was terrible.,0,22,1,Australia,2197,Medium,Male,mobile payment,2021
384,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,68,1,Australia,7165,High,Female,mobile payment,2021
385,I don't recommend unless your car breaks down in front of it and you are starving.,0,82,1,Japan,6438,High,Male,credit card,2022
386,I will come back here every time I'm in Vegas.,1,46,0,South Africa,8520,High,Male,mobile payment,2023
387,This place deserves one star and 90% has to do with the food.,0,61,1,France,5480,High,Male,cash,2022
388,This is a disgrace.,0,19,1,Australia,4358,Medium,Female,credit card,2021
389,Def coming back to bowl next time,1,33,0,South Africa,9005,High,Male,credit card,2022
390,"If you want healthy authentic or ethic food, try this place.",1,60,0,Germany,2020,Medium,Male,mobile payment,2024
391,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,124,0,China,9806,High,Male,credit card,2020
392,"I have been here several times in the past, and the experience has always been great.",1,85,0,Canada,7002,High,Female,credit card,2023
393,We walked away stuffed and happy about our first Vegas buffet experience.,1,73,0,Australia,4189,Medium,Female,mobile payment,2020
394,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,135,0,USA,8511,High,Male,cash,2022
395,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,147,0,India,8548,High,Male,credit card,2024
396,I'm probably one of the few people to ever go to Ians and not like it.,0,70,1,India,4502,Medium,Male,cash,2023
397,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,83,0,Brazil,8625,High,Female,mobile payment,2024
398,Service is perfect and the family atmosphere is nice to see.,1,60,0,France,8133,High,Male,mobile payment,2023
399,Cooked to perfection and the service was impeccable.,1,52,0,India,6014,High,Male,credit card,2020
400,This one is simply a disappointment.,0,36,1,Brazil,4431,Medium,Female,credit card,2020
401,"Overall, I was very disappointed with the quality of food at Bouchon.",0,69,1,Canada,6610,High,Female,cash,2024
402,I don't have to be an accountant to know I'm getting screwed!,0,61,1,France,1333,Low,Female,credit card,2023
403,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,93,0,China,4155,Medium,Male,cash,2020
404,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,119,0,India,7731,High,Male,cash,2022
405,Left very frustrated.,0,21,1,India,1142,Low,Male,cash,2024
406,I'll definitely be in soon again.,1,33,0,France,2670,Medium,Male,credit card,2020
407,Food was really good and I got full petty fast.,1,47,0,Australia,7275,High,Male,credit card,2023
408,Service was fantastic.,1,22,0,USA,8892,High,Male,cash,2021
409,TOTAL WASTE OF TIME.,0,20,1,France,2889,Medium,Female,mobile payment,2024
410,I don't know what kind it is but they have the best iced tea.,1,61,0,China,8024,High,Female,credit card,2021
411,"Come hungry, leave happy and stuffed!",1,37,0,China,1780,Low,Female,mobile payment,2022
412,"For service, I give them no stars.",0,34,1,France,4380,Medium,Female,cash,2021
413,I can assure you that you won't be disappointed.,1,48,0,South Africa,3808,Medium,Female,credit card,2022
414,I can take a little bad service but the food sucks.,0,51,1,China,9181,High,Female,mobile payment,2021
415,Gave up trying to eat any of the crust (teeth still sore).,0,58,1,Australia,6916,High,Female,cash,2020
416,But now I was completely grossed out.,0,37,1,Canada,3252,Medium,Male,credit card,2024
417,I really enjoyed eating here.,1,29,0,Japan,2637,Medium,Male,cash,2023
418,First time going but I think I will quickly become a regular.,1,61,0,South Africa,7066,High,Male,mobile payment,2024
419,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,146,0,Australia,4911,Medium,Male,cash,2024
420,From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,95,0,Canada,1701,Low,Female,credit card,2023
421,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,124,1,France,9823,High,Female,credit card,2021
422,"Furthermore, you can't even find hours of operation on the website!",0,67,1,Japan,4937,Medium,Female,cash,2022
423,We've tried to like this place but after 10+ times I think we're done with them.,0,80,1,France,8234,High,Female,credit card,2022
424,What a mistake that was!,0,24,1,France,4786,Medium,Female,mobile payment,2020
425,No complaints!,1,14,0,South Africa,4692,Medium,Female,cash,2020
426,This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,76,0,China,7848,High,Male,credit card,2024
427,Waiter was a jerk.,0,18,1,France,1077,Low,Male,mobile payment,2024
428,"Strike 2, who wants to be rushed.",0,33,1,USA,2912,Medium,Female,cash,2021
429,These are the nicest restaurant owners I've ever come across.,1,61,0,India,8770,High,Female,credit card,2021
430,I never come again.,0,19,1,Australia,5365,High,Female,cash,2024
431,We loved the biscuits!!!,1,24,0,Australia,2387,Medium,Male,cash,2023
432,Service is quick and friendly.,1,30,0,Australia,2622,Medium,Male,mobile payment,2020
433,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,79,1,Brazil,5184,High,Male,cash,2022
434,So absolutley fantastic.,1,24,0,USA,4906,Medium,Male,credit card,2020
435,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,73,1,Australia,5765,High,Male,cash,2023
436,definitely will come back here again.,1,37,0,Germany,2216,Medium,Male,credit card,2022
437,I like Steiners because it's dark and it feels like a bar.,1,58,0,China,6211,High,Male,cash,2021
438,Wow very spicy but delicious.,1,29,0,India,6219,High,Female,credit card,2022
439,"If you're not familiar, check it out.",1,37,0,France,5899,High,Male,credit card,2024
440,I'll take my business dinner dollars elsewhere.,0,47,1,Brazil,3397,Medium,Female,cash,2022
441,I'd love to go back.,1,20,0,Japan,6064,High,Female,cash,2020
442,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,59,0,Brazil,2627,Medium,Male,credit card,2021
443,Nothing special.,0,16,1,France,2106,Medium,Male,credit card,2023
444,Each day of the week they have a different deal and it's all so delicious!,1,74,0,India,6025,High,Female,mobile payment,2023
445,"Not to mention the combination of pears, almonds and bacon is a big winner!",1,75,0,Brazil,2278,Medium,Female,mobile payment,2022
446,Will not be back.,0,17,1,India,7384,High,Female,mobile payment,2021
447,Sauce was tasteless.,0,20,1,India,2808,Medium,Male,mobile payment,2022
448,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,101,0,Japan,2411,Medium,Male,mobile payment,2020
449,My ribeye steak was cooked perfectly and had great mesquite flavor.,1,67,0,Germany,6797,High,Female,mobile payment,2021
450,I don't think we'll be going back anytime soon.,0,47,1,India,1169,Low,Male,mobile payment,2024
451,Food was so gooodd.,1,19,0,Australia,6467,High,Female,credit card,2023
452,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,138,1,USA,1272,Low,Female,credit card,2023
453,I was so insulted.,0,18,1,Germany,9424,High,Female,credit card,2021
454,The last 3 times I had lunch here has been bad.,0,47,1,India,3716,Medium,Male,credit card,2021
455,The chicken wings contained the driest chicken meat I have ever eaten.,0,70,1,India,8405,High,Female,cash,2021
456,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,116,0,India,6122,High,Male,cash,2024
457,Nargile - I think you are great.,1,32,0,South Africa,8839,High,Male,mobile payment,2021
458,Best tater tots in the southwest.,1,33,0,Germany,7893,High,Male,mobile payment,2022
459,We loved the place.,1,19,0,Canada,2292,Medium,Female,cash,2022
460,Definitely not worth the $3 I paid.,0,35,1,Germany,1694,Low,Female,mobile payment,2020
461,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,98,0,Australia,8136,High,Female,cash,2023
462,Im in AZ all the time and now have my new spot.,1,47,0,France,2633,Medium,Male,credit card,2020
463,The manager was the worst.,0,26,1,China,7542,High,Female,cash,2024
464,The inside is really quite nice and very clean.,1,47,0,Australia,2642,Medium,Female,credit card,2021
465,The food was outstanding and the prices were very reasonable.,1,61,0,Australia,4707,Medium,Male,cash,2022
466,I don't think I'll be running back to Carly's anytime soon for food.,0,68,1,China,8623,High,Female,credit card,2023
467,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,146,1,Japan,4143,Medium,Female,cash,2020
468,"Love the margaritas, too!",1,25,0,Germany,7572,High,Male,credit card,2020
469,This was my first and only Vegas buffet and it did not disappoint.,1,66,0,Canada,7496,High,Female,mobile payment,2021
470,"Very good, though!",1,18,0,South Africa,7030,High,Male,credit card,2024
471,The one down note is the ventilation could use some upgrading.,0,62,1,USA,2900,Medium,Male,cash,2020
472,Great pork sandwich.,1,20,0,India,6354,High,Male,cash,2022
473,Don't waste your time here.,0,27,1,China,7860,High,Female,mobile payment,2024
474,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,90,1,China,8371,High,Male,mobile payment,2021
475,"Third, the cheese on my friend's burger was cold.",0,49,1,France,6594,High,Female,mobile payment,2023
476,We enjoy their pizza and brunch.,1,32,0,Australia,8044,High,Female,credit card,2021
477,The steaks are all well trimmed and also perfectly cooked.,1,58,0,Australia,2168,Medium,Male,credit card,2020
478,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,92,0,Japan,4296,Medium,Male,mobile payment,2022
479,I LOVED it!,1,11,0,France,7535,High,Male,cash,2020
480,We asked for the bill to leave without eating and they didn't bring that either.,0,80,1,China,2009,Medium,Male,credit card,2021
481,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,110,0,Australia,6794,High,Female,cash,2023
482,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,100,1,Australia,6733,High,Female,mobile payment,2021
483,The selection of food was not the best.,0,39,1,Japan,7470,High,Female,mobile payment,2021
484,Delicious and I will absolutely be back!,1,40,0,Japan,2326,Medium,Male,mobile payment,2022
485,"This isn't a small family restaurant, this is a fine dining establishment.",1,74,0,Australia,4468,Medium,Female,cash,2021
486,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,116,0,Germany,9953,High,Male,credit card,2024
487,I dont think I will be back for a very long time.,0,49,1,India,4248,Medium,Male,cash,2022
488,"It was attached to a gas station, and that is rarely a good sign.",0,65,1,India,6684,High,Male,cash,2022
489,How awesome is that.,1,20,0,France,8704,High,Female,cash,2024
490,I will be back many times soon.,1,31,0,Japan,4616,Medium,Male,credit card,2022
491,The menu had so much good stuff on it i could not decide!,1,57,0,USA,4583,Medium,Female,mobile payment,2022
492,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,93,1,Canada,2339,Medium,Female,cash,2021
493,CONCLUSION: Very filling meals.,1,31,0,Brazil,6224,High,Male,cash,2021
494,Their daily specials are always a hit with my group.,1,52,0,Australia,8435,High,Male,credit card,2020
495,And then tragedy struck.,0,24,1,Brazil,2083,Medium,Male,mobile payment,2022
496,The pancake was also really good and pretty large at that.,1,58,0,France,6376,High,Male,credit card,2022
497,"This was my first crawfish experience, and it was delicious!",1,60,0,Australia,9459,High,Female,cash,2024
498,Their monster chicken fried steak and eggs is my all time favorite.,1,67,0,Japan,6757,High,Female,mobile payment,2021
499,Waitress was sweet and funny.,1,29,0,Germany,1839,Low,Female,credit card,2020
500,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,121,0,Canada,9396,High,Male,credit card,2024
501,"I'd rather eat airline food, seriously.",0,39,1,Japan,9696,High,Male,credit card,2022
502,Cant say enough good things about this place.,1,45,0,Germany,2927,Medium,Female,mobile payment,2020
503,The ambiance was incredible.,1,28,0,USA,1963,Low,Male,mobile payment,2020
504,The waitress and manager are so friendly.,1,41,0,Germany,5238,High,Female,cash,2020
505,I would not recommend this place.,0,33,1,South Africa,9974,High,Male,credit card,2022
506,Overall I wasn't very impressed with Noca.,0,42,1,India,3955,Medium,Male,credit card,2021
507,My gyro was basically lettuce only.,0,35,1,China,4420,Medium,Male,credit card,2024
508,Terrible service!,0,17,1,Canada,7641,High,Male,credit card,2024
509,Thoroughly disappointed!,0,24,1,France,6964,High,Female,cash,2024
510,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,88,0,India,6308,High,Female,cash,2023
511,"Give it a try, you will be happy you did.",1,41,0,China,8337,High,Male,cash,2023
512,By far the BEST cheesecurds we have ever had!,1,45,0,South Africa,6109,High,Male,credit card,2021
513,Reasonably priced also!,1,23,0,USA,3740,Medium,Female,credit card,2024
514,Everything was perfect the night we were in.,1,44,0,USA,5883,High,Male,mobile payment,2021
515,The food is very good for your typical bar food.,1,48,0,South Africa,7335,High,Female,credit card,2024
516,it was a drive to get there.,0,28,1,Germany,3602,Medium,Female,mobile payment,2021
517,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,82,0,Australia,7347,High,Male,mobile payment,2022
518,"Anyway, I do not think i will go back there.",0,44,1,Japan,6594,High,Female,credit card,2024
519,"Point your finger at any item on the menu, order it and you won't be disappointed.",1,82,0,South Africa,2372,Medium,Male,credit card,2021
520,"Oh this is such a thing of beauty, this restaurant.",1,51,0,China,4227,Medium,Male,credit card,2022
521,If you haven't gone here GO NOW!,1,32,0,Australia,8142,High,Male,credit card,2021
522,"A greasy, unhealthy meal.",0,25,1,Canada,4182,Medium,Male,mobile payment,2023
523,first time there and might just be the last.,0,44,1,India,3350,Medium,Male,cash,2024
524,Those burgers were amazing.,1,27,0,Japan,7157,High,Male,cash,2022
525,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,92,1,Canada,9642,High,Female,credit card,2023
526,And it was way to expensive.,0,28,1,India,1918,Low,Female,cash,2020
527,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,107,0,Germany,3406,Medium,Female,cash,2021
528,This was my first time and I can't wait until the next.,1,55,0,Germany,4974,Medium,Male,cash,2023
529,The bartender was also nice.,1,28,0,Canada,1972,Low,Male,cash,2021
530,Everything was good and tasty!,1,30,0,China,1316,Low,Female,mobile payment,2023
531,This place is two thumbs up....way up.,1,38,0,South Africa,2645,Medium,Male,cash,2021
532,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,68,0,Germany,9943,High,Female,credit card,2021
533,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,137,0,South Africa,5375,High,Female,cash,2021
534,Terrible management.,0,20,1,France,3578,Medium,Male,cash,2020
535,An excellent new restaurant by an experienced Frenchman.,1,56,0,Australia,4185,Medium,Female,mobile payment,2022
536,If there were zero stars I would give it zero stars.,0,52,1,Australia,1704,Low,Female,mobile payment,2021
537,"Great steak, great sides, great wine, amazing desserts.",1,55,0,India,4937,Medium,Female,credit card,2023
538,Worst martini ever!,0,19,1,Japan,5990,High,Male,mobile payment,2022
539,The steak and the shrimp are in my opinion the best entrees at GC.,1,66,0,Brazil,3744,Medium,Female,cash,2021
540,I had the opportunity today to sample your amazing pizzas!,1,58,0,Japan,9780,High,Male,credit card,2021
541,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,115,1,Australia,5298,High,Male,credit card,2022
542,The yellowtail carpaccio was melt in your mouth fresh.,1,54,0,France,5314,High,Female,credit card,2023
543,I won't try going back there even if it's empty.,0,48,1,Canada,6456,High,Female,cash,2021
544,"No, I'm going to eat the potato that I found some strangers hair in it.",0,71,1,Canada,1156,Low,Female,cash,2021
545,Just spicy enough.. Perfect actually.,1,37,0,Germany,6584,High,Female,credit card,2022
546,Last night was my second time dining here and I was so happy I decided to go back!,1,82,0,India,3605,Medium,Male,credit card,2022
547,"not even a ""hello, we will be right with you.""",0,46,1,Germany,7923,High,Male,cash,2021
548,The desserts were a bit strange.,0,32,1,India,2846,Medium,Male,mobile payment,2022
549,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,148,0,Brazil,8074,High,Male,mobile payment,2023
550,"I really do recommend this place, you can go wrong with this donut place!",1,73,0,Canada,2378,Medium,Female,credit card,2021
551,Nice ambiance.,1,14,0,Canada,6399,High,Female,cash,2023
552,I would recommend saving room for this!,1,39,0,South Africa,7105,High,Female,mobile payment,2024
553,I guess maybe we went on an off night but it was disgraceful.,0,61,1,South Africa,5338,High,Female,cash,2021
554,"However, my recent experience at this particular location was not so good.",0,74,1,India,3357,Medium,Female,credit card,2021
555,"I know this is not like the other restaurants at all, something is very off here!",0,81,1,Japan,4636,Medium,Female,mobile payment,2023
556,AVOID THIS ESTABLISHMENT!,0,25,1,Germany,1540,Low,Male,cash,2020
557,I think this restaurant suffers from not trying hard enough.,0,60,1,Japan,1092,Low,Male,credit card,2021
558,All of the tapas dishes were delicious!,1,39,0,Brazil,4275,Medium,Female,cash,2021
559,I *heart* this place.,1,21,0,China,5631,High,Female,mobile payment,2024
560,My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,70,1,South Africa,1324,Low,Male,credit card,2022
561,After two I felt disgusting.,0,28,1,Australia,3206,Medium,Female,mobile payment,2022
562,A good time!,1,12,0,Canada,2983,Medium,Male,cash,2021
563,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,94,0,Japan,6310,High,Male,cash,2020
564,Generous portions and great taste.,1,34,0,India,4323,Medium,Female,cash,2024
565,I will never go back to this place and will never ever recommended this place to anyone!,0,88,1,USA,6731,High,Female,credit card,2020
566,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,93,1,Germany,2160,Medium,Female,cash,2021
567,Food was delicious!,1,19,0,South Africa,2778,Medium,Male,mobile payment,2024
568,AN HOUR... seriously?,0,21,1,India,3943,Medium,Male,credit card,2024
569,I consider this theft.,0,22,1,USA,5878,High,Male,credit card,2024
570,Eew... This location needs a complete overhaul.,0,47,1,USA,7173,High,Female,credit card,2020
571,We recently witnessed her poor quality of management towards other guests as well.,0,82,1,Canada,5533,High,Male,cash,2024
572,Waited and waited and waited.,0,29,1,China,3925,Medium,Male,credit card,2020
573,"He also came back to check on us regularly, excellent service.",1,62,0,Japan,4780,Medium,Female,cash,2021
